id;start_date;end_date;language
1;2021-02-27T14:45:38;2021-02-27T12:35:53;SPANISH
2;2021-02-26T19:35:49;2021-02-27T14:40:14;SPANISH
3;2021-02-27T10:31:08;2021-02-26T21:05:17;FRENCH
4;2021-02-27T01:48:39;2021-02-27T13:20:05;FRENCH
5;2021-02-27T11:18:57;2021-02-27T16:05:56;FRENCH
6;2021-02-27T05:11:18;2021-02-27T17:19:32;FRENCH
7;2021-02-27T06:56:38;2021-02-27T00:47:29;FRENCH
8;2021-02-27T05:52:51;2021-02-27T16:08:59;SPANISH
9;2021-02-27T04:34:00;2021-02-27T01:15:23;SPANISH
10;2021-02-27T12:46:04;2021-02-26T23:20:34;SPANISH
